,CPU Name,CPU Mark(higher is better),Rank(lower is better),CPU Value(higher is better),Price(USD),lien,Integer Math,Floating Point Math,Find Prime Numbers,Random String Sorting,Data Encryption,Data Compression,Physics,Extended Instructions,Single Thread
0,AMD A10 PRO-7850B APU,"3,453",1974,23.33,$148.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-4600M+APU&id=10,"12,826 MOps/Sec","3,514 MOps/Sec",9 Million Primes/Sec,"4,017 Thousand Strings/Sec",567.6 MBytes/Sec,"30,497 KBytes/Sec",212 Frames/Sec,771 Million Matrices/Sec,"1,070 MOps/Sec"
1,AMD A10-4600M APU,"1,926",2704,32.65,$58.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-4655M+APU&id=11,"11,243 MOps/Sec","2,976 MOps/Sec",8 Million Primes/Sec,"3,473 Thousand Strings/Sec",483.3 MBytes/Sec,"26,741 KBytes/Sec",167 Frames/Sec,682 Million Matrices/Sec,904 MOps/Sec
2,AMD A10-5700 APU,"2,694",2288,39.61,$68.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5745M+APU&id=1962,"11,996 MOps/Sec","3,261 MOps/Sec",8 Million Primes/Sec,"3,635 Thousand Strings/Sec",524.1 MBytes/Sec,"28,920 KBytes/Sec",175 Frames/Sec,716 Million Matrices/Sec,954 MOps/Sec
3,AMD A10-5750M APU,"1,983",2668,21.09,$94.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5757M+APU&id=1992,"12,823 MOps/Sec","3,532 MOps/Sec",9 Million Primes/Sec,"4,045 Thousand Strings/Sec",566.2 MBytes/Sec,"31,108 KBytes/Sec",202 Frames/Sec,771 Million Matrices/Sec,"1,060 MOps/Sec"
4,AMD A10-5800B APU,"3,021",2151,67.14,$44.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-5800K+APU&id=1446,"19,670 MOps/Sec","5,199 MOps/Sec",12 Million Primes/Sec,"6,314 Thousand Strings/Sec",899.3 MBytes/Sec,"50,406 KBytes/Sec",265 Frames/Sec,"1,246 Million Matrices/Sec","1,493 MOps/Sec"
5,AMD A10-5800K APU,"2,969",2181,141.45,$20.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6700+APU&id=1936,"21,173 MOps/Sec","5,642 MOps/Sec",11 Million Primes/Sec,"6,507 Thousand Strings/Sec",947.7 MBytes/Sec,"51,653 KBytes/Sec",261 Frames/Sec,"1,304 Million Matrices/Sec","1,605 MOps/Sec"
6,AMD A10-6700 APU,"3,111",2115,80.78,$38.51,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6700T+APU&id=2254,"15,900 MOps/Sec","4,257 MOps/Sec",9 Million Primes/Sec,"4,759 Thousand Strings/Sec",701.5 MBytes/Sec,"37,821 KBytes/Sec",219 Frames/Sec,960 Million Matrices/Sec,"1,290 MOps/Sec"
7,AMD A10-6700T APU,"2,299",2493,26.12,$88.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6790K+APU&id=2117,"20,110 MOps/Sec","5,396 MOps/Sec",11 Million Primes/Sec,"6,611 Thousand Strings/Sec",968.6 MBytes/Sec,"53,289 KBytes/Sec",265 Frames/Sec,"1,294 Million Matrices/Sec","1,557 MOps/Sec"
8,AMD A10-6790K APU,"3,069",2133,73.07,$42.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800B+APU&id=2155,"21,173 MOps/Sec","5,795 MOps/Sec",12 Million Primes/Sec,"6,165 Thousand Strings/Sec",983.6 MBytes/Sec,"51,440 KBytes/Sec",260 Frames/Sec,"1,328 Million Matrices/Sec","1,655 MOps/Sec"
9,AMD A10-6800B APU,"3,088",2126,24.12,$128.02*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-6800K+APU&id=1935,"21,347 MOps/Sec","5,619 MOps/Sec",12 Million Primes/Sec,"6,809 Thousand Strings/Sec",976.3 MBytes/Sec,"55,026 KBytes/Sec",279 Frames/Sec,"1,356 Million Matrices/Sec","1,608 MOps/Sec"
10,AMD A10-6800K APU,"3,208",2076,67.48,$47.53,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7300+APU&id=2287,"9,892 MOps/Sec","2,933 MOps/Sec",8 Million Primes/Sec,"3,280 Thousand Strings/Sec",457.0 MBytes/Sec,"27,494 KBytes/Sec",157 Frames/Sec,"1,007 Million Matrices/Sec",860 MOps/Sec
11,AMD A10-7700K APU,"3,204",2077,136.85,$23.41,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7800+APU&id=2262,"19,106 MOps/Sec","5,400 MOps/Sec",11 Million Primes/Sec,"6,173 Thousand Strings/Sec",883.7 MBytes/Sec,"54,006 KBytes/Sec",208 Frames/Sec,"2,016 Million Matrices/Sec","1,459 MOps/Sec"
12,AMD A10-7800 APU,"3,190",2083,60.60,$52.64,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7850K+APU&id=2133,"19,847 MOps/Sec","5,542 MOps/Sec",13 Million Primes/Sec,"6,732 Thousand Strings/Sec",952.5 MBytes/Sec,"57,907 KBytes/Sec",255 Frames/Sec,"2,086 Million Matrices/Sec","1,512 MOps/Sec"
13,AMD A10-7850K APU,"3,426",1984,61.18,$56.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7860K&id=2722,"19,005 MOps/Sec","5,339 MOps/Sec",13 Million Primes/Sec,"6,402 Thousand Strings/Sec",908.9 MBytes/Sec,"55,063 KBytes/Sec",240 Frames/Sec,"2,007 Million Matrices/Sec","1,496 MOps/Sec"
14,AMD A10-7860K,"3,281",2048,61.68,$53.19,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7870K&id=2531,"19,506 MOps/Sec","5,510 MOps/Sec",13 Million Primes/Sec,"6,605 Thousand Strings/Sec",952.0 MBytes/Sec,"57,883 KBytes/Sec",244 Frames/Sec,"2,144 Million Matrices/Sec","1,481 MOps/Sec"
15,AMD A10-7870K,"3,406",1990,6.58,$517.20,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-7890K&id=2744,"20,914 MOps/Sec","5,760 MOps/Sec",13 Million Primes/Sec,"6,886 Thousand Strings/Sec",972.2 MBytes/Sec,"60,730 KBytes/Sec",244 Frames/Sec,"2,255 Million Matrices/Sec","1,556 MOps/Sec"
16,AMD A10-7890K,"3,531",1956,25.87,$136.49,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-8700P&id=2542,"11,906 MOps/Sec","3,615 MOps/Sec",8 Million Primes/Sec,"3,857 Thousand Strings/Sec",682.1 MBytes/Sec,"36,388 KBytes/Sec",167 Frames/Sec,"1,264 Million Matrices/Sec","1,116 MOps/Sec"
17,AMD A10-9700,"3,533",1954,40.13,$88.05,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A10-9700E&id=3133,"16,930 MOps/Sec","5,122 MOps/Sec",11 Million Primes/Sec,"5,665 Thousand Strings/Sec","1,014.0 MBytes/Sec","54,192 KBytes/Sec",242 Frames/Sec,"1,863 Million Matrices/Sec","1,449 MOps/Sec"
18,AMD A10-9700E,"3,171",2090,35.60,$89.09,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A12-9700P&id=2848,"13,416 MOps/Sec","4,037 MOps/Sec",8 Million Primes/Sec,"4,358 Thousand Strings/Sec",763.3 MBytes/Sec,"39,308 KBytes/Sec",182 Frames/Sec,"1,399 Million Matrices/Sec","1,204 MOps/Sec"
19,AMD A12-9800,"3,529",1957,40.25,$87.67,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A12-9800E&id=3083,"19,138 MOps/Sec","5,751 MOps/Sec",11 Million Primes/Sec,"6,265 Thousand Strings/Sec","1,082 MBytes/Sec","58,212 KBytes/Sec",240 Frames/Sec,"1,971 Million Matrices/Sec","1,603 MOps/Sec"
20,AMD A12-9800E,"3,445",1979,5.14,$670.15*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4+Micro-6400T+APU&id=2413,NA,NA,NA,NA,NA,NA,NA,NA,530 MOps/Sec
21,AMD A4-3300 APU,967,3454,17.07,$56.61,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3300M+APU&id=14,"1,992 MOps/Sec","1,595 MOps/Sec",4 Million Primes/Sec,"2,042 Thousand Strings/Sec",186.1 MBytes/Sec,"16,242 KBytes/Sec",92 Frames/Sec,350 Million Matrices/Sec,789 MOps/Sec
22,AMD A4-3300M APU,711,3726,23.71,$29.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3305M+APU&id=15,"1,783 MOps/Sec","1,677 MOps/Sec",4 Million Primes/Sec,"2,082 Thousand Strings/Sec",187.6 MBytes/Sec,"16,852 KBytes/Sec",86 Frames/Sec,361 Million Matrices/Sec,822 MOps/Sec
23,AMD A4-3305M APU,729,3710,35.04,$20.81*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3310MX+APU&id=16,"1,700 MOps/Sec","1,683 MOps/Sec",5 Million Primes/Sec,"2,158 Thousand Strings/Sec",224.8 MBytes/Sec,"17,875 KBytes/Sec",96 Frames/Sec,377 Million Matrices/Sec,821 MOps/Sec
24,AMD A4-3320M APU,668,3785,17.12,$39.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3330MX+APU&id=1871,"1,938 MOps/Sec","1,982 MOps/Sec",3 Million Primes/Sec,"2,069 Thousand Strings/Sec",195.6 MBytes/Sec,"16,847 KBytes/Sec",78 Frames/Sec,366 Million Matrices/Sec,910 MOps/Sec
25,AMD A4-3400 APU,"1,078",3337,13.49,$79.95,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-3420+APU&id=19,"3,078 MOps/Sec","2,343 MOps/Sec",5 Million Primes/Sec,"2,937 Thousand Strings/Sec",267.9 MBytes/Sec,"22,279 KBytes/Sec",109 Frames/Sec,540 Million Matrices/Sec,"1,113 MOps/Sec"
26,AMD A4-3420 APU,"1,054",3361,7.75,$136.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-4000+APU&id=1913,"7,511 MOps/Sec","2,127 MOps/Sec",4 Million Primes/Sec,"2,545 Thousand Strings/Sec",354.7 MBytes/Sec,"19,886 KBytes/Sec",120 Frames/Sec,473 Million Matrices/Sec,"1,170 MOps/Sec"
27,AMD A4-4000 APU,"1,169",3250,58.58,$19.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-4020+APU&id=2305,"8,260 MOps/Sec","2,231 MOps/Sec",5 Million Primes/Sec,"2,645 Thousand Strings/Sec",382.8 MBytes/Sec,"21,325 KBytes/Sec",126 Frames/Sec,520 Million Matrices/Sec,"1,216 MOps/Sec"
28,AMD A4-4020 APU,"1,271",3152,12.06,$105.37,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-4300M+APU&id=1813,"6,362 MOps/Sec","1,813 MOps/Sec",4 Million Primes/Sec,"2,050 Thousand Strings/Sec",291.9 MBytes/Sec,"15,954 KBytes/Sec",110 Frames/Sec,398 Million Matrices/Sec,"1,032 MOps/Sec"
29,AMD A4-4300M APU,"1,000",3421,33.48,$29.86*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-4355M+APU&id=1820,"5,196 MOps/Sec","1,461 MOps/Sec",4 Million Primes/Sec,"1,697 Thousand Strings/Sec",235.6 MBytes/Sec,"12,888 KBytes/Sec",89 Frames/Sec,317 Million Matrices/Sec,813 MOps/Sec
30,AMD A4-5300 APU,"1,367",3085,50.74,$26.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-5300B+APU&id=1810,"7,849 MOps/Sec","2,297 MOps/Sec",5 Million Primes/Sec,"2,742 Thousand Strings/Sec",377.9 MBytes/Sec,"21,241 KBytes/Sec",125 Frames/Sec,500 Million Matrices/Sec,"1,243 MOps/Sec"
31,AMD A4-5300B APU,"1,243",3175,47.89,$25.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-6210+APU&id=2307,"9,075 MOps/Sec","2,223 MOps/Sec",5 Million Primes/Sec,"3,424 Thousand Strings/Sec",475.4 MBytes/Sec,"25,398 KBytes/Sec",105 Frames/Sec,794 Million Matrices/Sec,611 MOps/Sec
32,AMD A4-6300 APU,"1,431",3037,34.06,$42.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-6300B+APU&id=2112,"8,871 MOps/Sec","2,350 MOps/Sec",4 Million Primes/Sec,"2,764 Thousand Strings/Sec",363.7 MBytes/Sec,"21,553 KBytes/Sec",106 Frames/Sec,551 Million Matrices/Sec,"1,373 MOps/Sec"
33,AMD A4-6300B APU,"1,328",3107,47.51,$27.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-6320+APU&id=2212,"9,944 MOps/Sec","2,689 MOps/Sec",5 Million Primes/Sec,"3,100 Thousand Strings/Sec",476.5 MBytes/Sec,"26,902 KBytes/Sec",141 Frames/Sec,655 Million Matrices/Sec,"1,529 MOps/Sec"
34,AMD A4-6320 APU,"1,530",2970,21.86,$69.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-7210+APU&id=2549,"9,871 MOps/Sec","2,612 MOps/Sec",6 Million Primes/Sec,"3,671 Thousand Strings/Sec",521.7 MBytes/Sec,"28,015 KBytes/Sec",122 Frames/Sec,850 Million Matrices/Sec,725 MOps/Sec
35,AMD A4-7300 APU,"1,536",2966,83.17,$18.47,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A4-9120&id=3093,"6,345 MOps/Sec","1,945 MOps/Sec",5 Million Primes/Sec,"2,046 Thousand Strings/Sec",372.1 MBytes/Sec,"19,829 KBytes/Sec",105 Frames/Sec,682 Million Matrices/Sec,"1,049 MOps/Sec"
36,AMD A6-3400M APU,"1,186",3233,48.50,$24.45*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3410MX+APU&id=21,"3,162 MOps/Sec","2,949 MOps/Sec",8 Million Primes/Sec,"3,564 Thousand Strings/Sec",341.1 MBytes/Sec,"28,101 KBytes/Sec",147 Frames/Sec,617 Million Matrices/Sec,732 MOps/Sec
37,AMD A6-3410MX APU,"1,263",3161,316.44,$3.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3420M+APU&id=22,"3,269 MOps/Sec","2,994 MOps/Sec",8 Million Primes/Sec,"3,649 Thousand Strings/Sec",343.8 MBytes/Sec,"29,222 KBytes/Sec",151 Frames/Sec,645 Million Matrices/Sec,780 MOps/Sec
38,AMD A6-3500 APU,"1,371",3082,18.30,$74.93,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3600+APU&id=25,"4,745 MOps/Sec","3,863 MOps/Sec",8 Million Primes/Sec,"4,373 Thousand Strings/Sec",444.7 MBytes/Sec,"35,210 KBytes/Sec",160 Frames/Sec,815 Million Matrices/Sec,897 MOps/Sec
39,AMD A6-3600 APU,"1,645",2884,65.94,$24.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3620+APU&id=26,"5,413 MOps/Sec","4,068 MOps/Sec",9 Million Primes/Sec,"5,051 Thousand Strings/Sec",476.2 MBytes/Sec,"40,964 KBytes/Sec",177 Frames/Sec,969 Million Matrices/Sec,989 MOps/Sec
40,AMD A6-3620 APU,"1,844",2761,81.98,$22.49*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3650+APU&id=27,"5,942 MOps/Sec","4,533 MOps/Sec",10 Million Primes/Sec,"5,434 Thousand Strings/Sec",531.7 MBytes/Sec,"43,928 KBytes/Sec",185 Frames/Sec,"1,075 Million Matrices/Sec","1,025 MOps/Sec"
41,AMD A6-3650 APU,"2,022",2645,15.80,$128.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-3670+APU&id=28,"6,395 MOps/Sec","4,788 MOps/Sec",10 Million Primes/Sec,"5,903 Thousand Strings/Sec",562.1 MBytes/Sec,"47,556 KBytes/Sec",185 Frames/Sec,"1,187 Million Matrices/Sec","1,144 MOps/Sec"
42,AMD A6-3670 APU,"2,165",2574,39.39,$54.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-4400M+APU&id=29,"6,467 MOps/Sec","1,899 MOps/Sec",4 Million Primes/Sec,"2,107 Thousand Strings/Sec",291.9 MBytes/Sec,"16,408 KBytes/Sec",108 Frames/Sec,405 Million Matrices/Sec,"1,026 MOps/Sec"
43,AMD A6-4400M APU,"1,006",3413,37.27,$27.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-4455M+APU&id=30,"4,992 MOps/Sec","1,437 MOps/Sec",4 Million Primes/Sec,"1,689 Thousand Strings/Sec",224.4 MBytes/Sec,"12,396 KBytes/Sec",88 Frames/Sec,310 Million Matrices/Sec,790 MOps/Sec
44,AMD A6-5350M APU,"1,157",3261,34.94,$33.12,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-5357M+APU&id=2048,"8,619 MOps/Sec","2,305 MOps/Sec",5 Million Primes/Sec,"2,441 Thousand Strings/Sec",291.4 MBytes/Sec,"17,497 KBytes/Sec",115 Frames/Sec,513 Million Matrices/Sec,"1,243 MOps/Sec"
45,AMD A6-5400B APU,"1,457",3018,50.33,$28.94*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-5400K+APU&id=1494,"8,363 MOps/Sec","2,288 MOps/Sec",5 Million Primes/Sec,"2,740 Thousand Strings/Sec",371.5 MBytes/Sec,"21,112 KBytes/Sec",125 Frames/Sec,512 Million Matrices/Sec,"1,263 MOps/Sec"
46,AMD A6-5400K APU,"1,264",3160,24.29,$52.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-6310+APU&id=2290,"10,029 MOps/Sec","2,579 MOps/Sec",6 Million Primes/Sec,"3,682 Thousand Strings/Sec",515.0 MBytes/Sec,"28,249 KBytes/Sec",118 Frames/Sec,860 Million Matrices/Sec,741 MOps/Sec
47,AMD A6-6400K APU,"1,468",3010,80.75,$18.18,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-6420B+APU&id=2433,NA,NA,NA,NA,NA,NA,NA,NA,"1,629 MOps/Sec"
48,AMD A6-6420K APU,"1,576",2930,10.51,$149.99*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-7000+&id=2488,NA,NA,NA,NA,NA,NA,NA,NA,857 MOps/Sec
49,AMD A6-7400K APU,"1,612",2901,59.28,$27.19,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-7470K&id=2771,"10,722 MOps/Sec","2,916 MOps/Sec",7 Million Primes/Sec,"3,851 Thousand Strings/Sec",484.2 MBytes/Sec,"30,667 KBytes/Sec",149 Frames/Sec,"1,127 Million Matrices/Sec","1,576 MOps/Sec"
50,AMD A6-7470K,"1,799",2789,20.22,$89.00,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-7480&id=3436,"9,529 MOps/Sec","2,958 MOps/Sec",6 Million Primes/Sec,"3,230 Thousand Strings/Sec",563.8 MBytes/Sec,"30,028 KBytes/Sec",137 Frames/Sec,"1,040 Million Matrices/Sec","1,571 MOps/Sec"
51,AMD A6-7480,"1,838",2765,52.79,$34.82,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-8500P&id=2781,"7,967 MOps/Sec","2,466 MOps/Sec",6 Million Primes/Sec,"2,516 Thousand Strings/Sec",433.8 MBytes/Sec,"22,685 KBytes/Sec",118 Frames/Sec,766 Million Matrices/Sec,"1,253 MOps/Sec"
52,AMD A6-9500,"1,872",2744,20.81,$89.95,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A6-9500E&id=3330,"8,800 MOps/Sec","2,735 MOps/Sec",7 Million Primes/Sec,"3,040 Thousand Strings/Sec",548.3 MBytes/Sec,"27,884 KBytes/Sec",141 Frames/Sec,969 Million Matrices/Sec,"1,474 MOps/Sec"
53,AMD A6-9500E,"1,758",2821,30.65,$57.36,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8+PRO-7150B+APU&id=2289,"8,925 MOps/Sec","2,672 MOps/Sec",8 Million Primes/Sec,"2,928 Thousand Strings/Sec",409.6 MBytes/Sec,"24,164 KBytes/Sec",138 Frames/Sec,856 Million Matrices/Sec,763 MOps/Sec
54,AMD A8-3500M APU,"1,421",3050,23.70,$59.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3510MX+APU&id=32,"4,438 MOps/Sec","3,760 MOps/Sec",9 Million Primes/Sec,"4,456 Thousand Strings/Sec",433.8 MBytes/Sec,"36,327 KBytes/Sec",172 Frames/Sec,808 Million Matrices/Sec,888 MOps/Sec
55,AMD A8-3510MX APU,"1,605",2907,20.82,$77.11*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3520M+APU&id=33,"3,851 MOps/Sec","3,388 MOps/Sec",9 Million Primes/Sec,"3,998 Thousand Strings/Sec",377.9 MBytes/Sec,"32,027 KBytes/Sec",166 Frames/Sec,735 Million Matrices/Sec,845 MOps/Sec
56,AMD A8-3520M APU,"1,448",3028,26.33,$55.00*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3530MX+APU&id=34,"3,755 MOps/Sec","3,805 MOps/Sec",9 Million Primes/Sec,"4,794 Thousand Strings/Sec",431.9 MBytes/Sec,"36,492 KBytes/Sec",182 Frames/Sec,775 Million Matrices/Sec,931 MOps/Sec
57,AMD A8-3800 APU,"1,996",2659,18.15,$109.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3820+APU&id=37,"6,513 MOps/Sec","5,063 MOps/Sec",11 Million Primes/Sec,"5,814 Thousand Strings/Sec",559.9 MBytes/Sec,"46,844 KBytes/Sec",204 Frames/Sec,"1,125 Million Matrices/Sec","1,133 MOps/Sec"
58,AMD A8-3820 APU,"2,166",2573,48.18,$44.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3850+APU&id=38,"6,885 MOps/Sec","5,284 MOps/Sec",11 Million Primes/Sec,"6,410 Thousand Strings/Sec",630.6 MBytes/Sec,"52,967 KBytes/Sec",200 Frames/Sec,"1,239 Million Matrices/Sec","1,215 MOps/Sec"
59,AMD A8-3850 APU,"2,351",2454,34.57,$68.02,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-3870K+APU&id=39,"6,914 MOps/Sec","5,329 MOps/Sec",10 Million Primes/Sec,"6,343 Thousand Strings/Sec",587.5 MBytes/Sec,"51,805 KBytes/Sec",192 Frames/Sec,"1,254 Million Matrices/Sec","1,213 MOps/Sec"
60,AMD A8-3870K APU,"2,297",2494,33.76,$68.04,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-4500M+APU&id=40,"11,038 MOps/Sec","3,006 MOps/Sec",9 Million Primes/Sec,"3,458 Thousand Strings/Sec",493.2 MBytes/Sec,"26,925 KBytes/Sec",193 Frames/Sec,676 Million Matrices/Sec,918 MOps/Sec
61,AMD A8-4500M APU,"1,677",2863,29.84,$56.21*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-4555M+APU&id=1448,"8,518 MOps/Sec","2,333 MOps/Sec",7 Million Primes/Sec,"2,784 Thousand Strings/Sec",375.4 MBytes/Sec,"21,449 KBytes/Sec",144 Frames/Sec,515 Million Matrices/Sec,767 MOps/Sec
62,AMD A8-5500 APU,"2,587",2332,43.89,$58.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-5500B+APU&id=1868,"17,281 MOps/Sec","4,673 MOps/Sec",10 Million Primes/Sec,"5,483 Thousand Strings/Sec",805.2 MBytes/Sec,"44,321 KBytes/Sec",232 Frames/Sec,"1,090 Million Matrices/Sec","1,339 MOps/Sec"
63,AMD A8-5500B APU,"2,625",2315,53.52,$49.04*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-5545M+APU&id=1971,"10,719 MOps/Sec","2,941 MOps/Sec",7 Million Primes/Sec,"3,195 Thousand Strings/Sec",457.8 MBytes/Sec,"25,562 KBytes/Sec",159 Frames/Sec,648 Million Matrices/Sec,840 MOps/Sec
64,AMD A8-5600K APU,"2,823",2238,40.90,$69.01,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-6410+APU&id=2266,"10,918 MOps/Sec","2,772 MOps/Sec",6 Million Primes/Sec,"3,958 Thousand Strings/Sec",553.3 MBytes/Sec,"30,125 KBytes/Sec",120 Frames/Sec,921 Million Matrices/Sec,785 MOps/Sec
65,AMD A8-6500 APU,"2,802",2247,100.79,$27.80,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-6500B+APU&id=2210,"19,406 MOps/Sec","5,275 MOps/Sec",10 Million Primes/Sec,"6,057 Thousand Strings/Sec",883.2 MBytes/Sec,"47,937 KBytes/Sec",229 Frames/Sec,"1,194 Million Matrices/Sec","1,490 MOps/Sec"
66,AMD A8-6500B APU,"2,855",2225,57.17,$49.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-6500T+APU&id=2179,NA,NA,NA,NA,NA,NA,NA,NA,"1,048 MOps/Sec"
67,AMD A8-6500T APU,"1,816",2778,30.29,$59.95*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-6600K+APU&id=1946,"20,093 MOps/Sec","5,298 MOps/Sec",11 Million Primes/Sec,"6,429 Thousand Strings/Sec",924.4 MBytes/Sec,"51,783 KBytes/Sec",255 Frames/Sec,"1,258 Million Matrices/Sec","1,537 MOps/Sec"
68,AMD A8-6600K APU,"3,004",2159,156.53,$19.19,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-7050&id=2688,"6,000 MOps/Sec","1,809 MOps/Sec",5 Million Primes/Sec,"1,976 Thousand Strings/Sec",296.8 MBytes/Sec,"16,543 KBytes/Sec",100 Frames/Sec,584 Million Matrices/Sec,913 MOps/Sec
69,AMD A8-7600 APU,"3,224",2070,150.64,$21.40,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-7650K&id=2489,"18,244 MOps/Sec","5,026 MOps/Sec",12 Million Primes/Sec,"6,151 Thousand Strings/Sec",859.5 MBytes/Sec,"52,832 KBytes/Sec",216 Frames/Sec,"1,921 Million Matrices/Sec","1,393 MOps/Sec"
70,AMD A8-7650K,"3,102",2121,81.66,$37.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-7670K&id=2595,"18,448 MOps/Sec","5,108 MOps/Sec",12 Million Primes/Sec,"6,210 Thousand Strings/Sec",877.7 MBytes/Sec,"54,130 KBytes/Sec",226 Frames/Sec,"2,001 Million Matrices/Sec","1,478 MOps/Sec"
71,AMD A8-7670K,"3,182",2087,40.02,$79.50*,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-7680&id=3384,"19,149 MOps/Sec","5,967 MOps/Sec",11 Million Primes/Sec,"6,422 Thousand Strings/Sec","1,123 MBytes/Sec","59,926 KBytes/Sec",253 Frames/Sec,"2,041 Million Matrices/Sec","1,626 MOps/Sec"
72,AMD A8-7680,"3,548",1947,96.61,$36.73,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A8-7690K&id=5490,"18,725 MOps/Sec","4,660 MOps/Sec",13 Million Primes/Sec,"3,788 Thousand Strings/Sec",504.4 MBytes/Sec,"30,550 KBytes/Sec",171 Frames/Sec,"1,178 Million Matrices/Sec","1,441 MOps/Sec"
73,AMD A8-9600,"3,305",2041,29.38,$112.49,https://www.cpubenchmark.net/cpu.php?cpu=AMD+A9-9400&id=2901,"7,339 MOps/Sec","2,298 MOps/Sec",5 Million Primes/Sec,"2,368 Thousand Strings/Sec",402.1 MBytes/Sec,"20,538 KBytes/Sec",105 Frames/Sec,746 Million Matrices/Sec,"1,218 MOps/Sec"
