,Drive Name,Size,"Disk Rating
(higher is better)","Rank
(lower is better)","Drive Value
(higher is better)","Price
(USD)",lien,Sequential Read,Sequential Write,Random Seek Read Write (IOPS 32KQD20),IOPS 4KQD1
682,KINGSTON SH103S3240G-NV,223.6 GB,"3,439",4996,19.11,$179.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SHFR200240G&id=22807,486 MBytes/Sec,373 MBytes/Sec,290 MBytes/Sec,38 MBytes/Sec
683,KINGSTON SHFS37A,223.6 GB,"3,376",5121,51.19,$65.95*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SHFS37A&id=19647,NA,NA,NA,NA
684,Kingston SHPM2280P2/240G,223.6 GB,"8,362",2726,46.72,$179.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SHPM2280P2%2F480G&id=9393,"1,346 MBytes/Sec",986 MBytes/Sec,677 MBytes/Sec,44 MBytes/Sec
685,Kingston SHPM2280P2/480G,447.1 GB,"9,802",2575,29.79,$329.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SHPM2280P2H%2F240G&id=9512,"1,199 MBytes/Sec",586 MBytes/Sec,542 MBytes/Sec,37 MBytes/Sec
686,Kingston SHPM2280P2H/240G,223.6 GB,"8,275",2740,50.16,$164.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SHPM2280P2H%2F480G&id=9524,"1,229 MBytes/Sec",722 MBytes/Sec,592 MBytes/Sec,31 MBytes/Sec
687,Kingston SHPM2280P2H/480G,447.1 GB,"9,041",2658,32.25,$280.30*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SHSS37A&id=20031,NA,NA,NA,NA
688,KINGSTON SHSS37A,223.6 GB,"2,674",6468,37.67,$70.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SHSS37A&id=19761,NA,NA,NA,NA
689,KINGSTON SKC100S3120G,111.8 GB,"2,980",5938,14.90,$199.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC100S3240G&id=2760,NA,NA,NA,NA
690,KINGSTON SKC100S3240G,223.6 GB,"3,192",5507,34.32,$93.01*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC100S3480G&id=5369,NA,NA,NA,NA
691,KINGSTON SKC100S3480G,447.1 GB,"3,032",5830,32.01,$94.73*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC2000M81000G&id=23852,"2,709 MBytes/Sec","1,825 MBytes/Sec",825 MBytes/Sec,74 MBytes/Sec
692,KINGSTON SKC380S3120G,111.8 GB,"2,105",7220,17.54,$119.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC380S360G&id=6562,NA,NA,NA,NA
693,KINGSTON SKC380S360G,55.9 GB,"1,943",7338,23.76,$81.79*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC400S37128G&id=11636,440 MBytes/Sec,349 MBytes/Sec,153 MBytes/Sec,27 MBytes/Sec
694,KINGSTON SKC400S371T,953.9 GB,"4,125",3749,9.69,$425.70*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC400S37256G&id=11356,405 MBytes/Sec,310 MBytes/Sec,161 MBytes/Sec,27 MBytes/Sec
695,KINGSTON SKC400S37256G,238.5 GB,"3,159",5571,17.72,$178.27*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SKC400S37512G&id=11734,467 MBytes/Sec,309 MBytes/Sec,174 MBytes/Sec,29 MBytes/Sec
696,KINGSTON SMS100S232G,29.8 GB,774,8529,15.64,$49.48*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS100S264G&id=2736,NA,NA,NA,NA
697,KINGSTON SMS100S264G,59.6 GB,"1,317",7853,13.86,$94.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS151S324G&id=6387,NA,NA,NA,NA
698,KINGSTON SMS151S324G,22.4 GB,"1,265",7899,66.90,$18.91*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS200S&id=5506,NA,NA,NA,NA
699,KINGSTON SMS200S3120G,111.8 GB,"3,045",5808,16.12,$188.86,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS200S3240G&id=8609,494 MBytes/Sec,338 MBytes/Sec,343 MBytes/Sec,26 MBytes/Sec
700,KINGSTON SMS200S3240G,223.6 GB,"4,035",3886,21.27,$189.75,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS200S330G&id=6596,NA,NA,NA,NA
701,KINGSTON SMS200S330G,28 GB,"1,706",7518,40.26,$42.37*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMS200S360G&id=5341,306 MBytes/Sec,179 MBytes/Sec,185 MBytes/Sec,24 MBytes/Sec
702,KINGSTON SMS200S360G,55.9 GB,"2,474",6772,24.74,$99.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SMSM151S3128GD&id=9326,382 MBytes/Sec,108 MBytes/Sec,51 MBytes/Sec,12 MBytes/Sec
703,KINGSTON SNVS1000GB,931.5 GB,"12,256",2214,71.74,$170.85,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SNVS2000G&id=28790,"1,988 MBytes/Sec","1,137 MBytes/Sec",639 MBytes/Sec,27 MBytes/Sec
704,KINGSTON SNVS2000GB,1.8 TB,"13,542",1977,82.13,$164.89,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SNVS250G&id=29570,"2,190 MBytes/Sec","1,077 MBytes/Sec",753 MBytes/Sec,43 MBytes/Sec
705,KINGSTON SNVS500GB,465.8 GB,"14,355",1842,360.50,$39.82,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SNVSE500G&id=29132,"2,124 MBytes/Sec","1,580 MBytes/Sec","1,203 MBytes/Sec",54 MBytes/Sec
706,KINGSTON SS200S330G,28 GB,"1,513",7687,16.81,$89.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SSDNow%20256GB&id=7696,NA,NA,NA,NA
707,Kingston SSDNow 256GB,238.5 GB,668,8814,4.55,$146.73*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SSDNow%2040GB&id=1356,112 MBytes/Sec,32 MBytes/Sec,42 MBytes/Sec,7 MBytes/Sec
708,KINGSTON SSDNow 40GB,37.2 GB,708,8695,16.18,$43.78*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SSDNow%2064GB&id=1357,NA,NA,NA,NA
709,Kingston SSDNow 64GB,59.5 GB,986,8215,4.38,$224.88*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SSDNow%20V%20Series&id=17520,NA,NA,NA,NA
710,Kingston SSDNow V Series 64GB,59.6 GB,513,9316,3.64,$140.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SSDNow%20V%2B200%2060GB&id=177,213 MBytes/Sec,113 MBytes/Sec,106 MBytes/Sec,20 MBytes/Sec
711,KINGSTON SSDNow V+200 60GB,55.9 GB,"1,592",7608,18.74,$84.95*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SUV100S37A120G&id=6799,NA,NA,NA,NA
712,KINGSTON SUV400S37 120G,111.8 GB,"2,362",6928,70.97,$33.28*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SUV400S37%20240G&id=23097,NA,NA,NA,NA
713,KINGSTON SV100S2128G,119.2 GB,"1,075",8114,4.53,$237.45*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV100S2256G&id=215,NA,NA,NA,NA
714,KINGSTON SV100S2256G,238.5 GB,916,8309,2.26,$406.20*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV100S232G&id=1359,NA,NA,NA,NA
715,KINGSTON SV100S232G,29.7 GB,659,8844,4.88,$134.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV100S264G&id=22,194 MBytes/Sec,75 MBytes/Sec,27 MBytes/Sec,9 MBytes/Sec
716,KINGSTON SV100S264G,59.6 GB,"1,072",8121,8.93,$119.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV200S3&id=495,NA,NA,NA,NA
717,KINGSTON SV200S3,119.2 GB,"1,336",7828,2.28,$585.45*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV200S3128G&id=407,208 MBytes/Sec,134 MBytes/Sec,99 MBytes/Sec,18 MBytes/Sec
718,KINGSTON SV200S3128G,119.2 GB,"1,594",7605,22.77,$69.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV200S3256G&id=129,NA,NA,NA,NA
719,KINGSTON SV200S3256G,238.5 GB,799,8489,4.44,$179.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV200S364G&id=1360,131 MBytes/Sec,42 MBytes/Sec,29 MBytes/Sec,8 MBytes/Sec
720,KINGSTON SV200S364G,59.5 GB,767,8545,10.96,$69.98*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20SV300%20S37A%20120GB&id=12183,NA,NA,NA,NA
721,KINGSTON SV300S3240G,223.6 GB,"3,013",5863,46.89,$64.25*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SV300S37A%20240G&id=13194,NA,NA,NA,NA
722,KINGSTON SVP100S2128G,119.2 GB,"1,577",7621,13.14,$119.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP100S2128G&id=1361,NA,NA,NA,NA
723,KINGSTON SVP100S2128G,59.5 GB,"1,133",8046,11.00,$102.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP100S2256G&id=6993,NA,NA,NA,NA
724,KINGSTON SVP100S2256G,238.5 GB,"1,234",7938,25.19,$48.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP100S2512G&id=4680,NA,NA,NA,NA
725,KINGSTON SVP100S2512G,476.9 GB,"1,370",7797,4.22,$325.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP100S264G&id=1362,NA,NA,NA,NA
726,KINGSTON SVP100S264G,59.6 GB,"1,255",7912,10.33,$121.54*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP100S296G&id=380,163 MBytes/Sec,153 MBytes/Sec,60 MBytes/Sec,16 MBytes/Sec
727,KINGSTON SVP200S3120G,111.8 GB,"2,312",6986,23.12,$99.99,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP200S3240G&id=17071,285 MBytes/Sec,254 MBytes/Sec,238 MBytes/Sec,22 MBytes/Sec
728,KINGSTON SVP200S3240G,100.7 GB,"2,478",6762,25.04,$98.95*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP200S3480G&id=735,NA,NA,NA,NA
729,KINGSTON SVP200S3480G,447.1 GB,"2,702",6427,5.25,$514.25*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP200S37A1&id=6687,NA,NA,NA,NA
730,KINGSTON SVP200S37A240G,223.6 GB,"2,950",5985,13.28,$222.23*,https://www.harddrivebenchmark.net/hdd.php?hdd=KINGSTON%20SVP200S37A256G&id=4391,290 MBytes/Sec,269 MBytes/Sec,230 MBytes/Sec,19 MBytes/Sec
731,KINGSTON SVP200S390G,83.8 GB,"2,008",7292,28.18,$71.25*,https://www.harddrivebenchmark.net/hdd.php?hdd=Kingston%20T52732&id=13393,NA,NA,NA,NA
732,KIOXIA (Toshiba) 128GB,119.2 GB,"5,640",2966,298.58,$18.89,https://www.harddrivebenchmark.net/hdd.php?hdd=KIOXIA%20KSG60ZMV256G%20M.2%202280%20256GB&id=25402,NA,NA,NA,NA
733,KLEVV CRAS C710 M.2 NVMe SSD 1TB,953.9 GB,"13,182",2029,128.75,$102.38*,https://www.harddrivebenchmark.net/hdd.php?hdd=KLEVV%20CRAS%20C710%20M.2%20NVMe%20SSD%20256GB&id=26309,"1,774 MBytes/Sec",960 MBytes/Sec,609 MBytes/Sec,41 MBytes/Sec
734,KLEVV CRAS C710 M.2 NVMe SSD 256GB,238.5 GB,"11,821",2283,311.89,$37.90*,https://www.harddrivebenchmark.net/hdd.php?hdd=KLEVV%20CRAS%20C710%20M.2%20NVMe%20SSD%20512GB&id=25992,"1,945 MBytes/Sec","1,132 MBytes/Sec",668 MBytes/Sec,46 MBytes/Sec
735,KXG60ZNV1T02 KIOXIA,953.9 GB,"20,679",1087,429.21,$48.18,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV1T02%20NVMe%20KIOXIA%201024GB&id=24761,"2,801 MBytes/Sec","2,117 MBytes/Sec","1,291 MBytes/Sec",51 MBytes/Sec
736,KXG60ZNV1T02 TOSHIBA,953.9 GB,"17,725",1410,80.20,$221.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV256G%20KIOXIA&id=25338,"2,677 MBytes/Sec","1,321 MBytes/Sec",704 MBytes/Sec,51 MBytes/Sec
737,KXG60ZNV256G KIOXIA,238.5 GB,"16,673",1533,427.51,$39.00,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV256G%20NVMe%20KIOXIA%20256GB&id=25397,"2,759 MBytes/Sec","1,198 MBytes/Sec",594 MBytes/Sec,46 MBytes/Sec
738,KXG60ZNV512G KIOXIA,476.9 GB,"18,695",1284,494.71,$37.79,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG60ZNV512G%20NVMe%20KIOXIA%20512GB&id=25674,"2,720 MBytes/Sec","1,716 MBytes/Sec",954 MBytes/Sec,49 MBytes/Sec
739,KXG60ZNV512G TOSHIBA,476.9 GB,"17,860",1392,511.01,$34.95,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG6APNV2T04%20TOSHIBA&id=27067,"2,583 MBytes/Sec","2,290 MBytes/Sec","1,627 MBytes/Sec",47 MBytes/Sec
740,KXG6AZNV1T02 TOSHIBA,953.9 GB,"20,360",1115,254.54,$79.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=KXG6AZNV256G%20NVMe%20SED%20TOSHIBA%20256GB&id=24399,NA,NA,NA,NA
741,Lexar 120GB SSD,111.8 GB,"2,874",6144,43.14,$66.62,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20128GB%20SSD&id=25069,458 MBytes/Sec,281 MBytes/Sec,180 MBytes/Sec,25 MBytes/Sec
742,Lexar 128GB SSD,119.2 GB,"3,283",5326,62.32,$52.67*,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%201TB%20SSD&id=25200,"2,434 MBytes/Sec","1,826 MBytes/Sec","1,013 MBytes/Sec",55 MBytes/Sec
743,Lexar 1TB SSD,931.5 GB,"18,398",1323,354.08,$51.96,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20240GB%20SSD&id=24706,432 MBytes/Sec,219 MBytes/Sec,146 MBytes/Sec,23 MBytes/Sec
744,Lexar 240GB SSD,223.6 GB,"2,874",6143,95.90,$29.97,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20250GB%20SSD&id=24837,"1,764 MBytes/Sec",866 MBytes/Sec,393 MBytes/Sec,38 MBytes/Sec
745,Lexar 250GB SSD,232.9 GB,"10,798",2434,183.04,$58.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20256GB%20SSD&id=24744,667 MBytes/Sec,406 MBytes/Sec,269 MBytes/Sec,29 MBytes/Sec
746,Lexar 256GB SSD,238.5 GB,"4,811",3117,52.87,$90.99,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%202TB%20SSD&id=32414,"2,628 MBytes/Sec","2,705 MBytes/Sec","3,119 MBytes/Sec",98 MBytes/Sec
747,Lexar 2TB SSD,1.9 TB,"30,379",455,137.54,$220.87,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20480GB%20SSD&id=26056,484 MBytes/Sec,213 MBytes/Sec,155 MBytes/Sec,25 MBytes/Sec
748,Lexar 480GB SSD,447.1 GB,"3,089",5721,70.24,$43.97,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20500GB%20SSD&id=25373,"1,933 MBytes/Sec","1,185 MBytes/Sec",419 MBytes/Sec,42 MBytes/Sec
749,Lexar 500GB SSD,465.8 GB,"12,533",2161,229.68,$54.57,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20512GB%20SSD&id=24995,"1,413 MBytes/Sec","1,078 MBytes/Sec",581 MBytes/Sec,42 MBytes/Sec
750,Lexar 512GB SSD,476.9 GB,"10,644",2448,291.87,$36.47,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20960GB%20SSD&id=28542,536 MBytes/Sec,259 MBytes/Sec,106 MBytes/Sec,31 MBytes/Sec
751,Lexar SSD,111.8 GB,"2,854",6180,41.98,$67.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=Lexar%20SSD&id=23912,457 MBytes/Sec,201 MBytes/Sec,110 MBytes/Sec,18 MBytes/Sec
752,M Series NVMe SSD 256G,238.5 GB,"11,012",2403,228.71,$48.15*,https://www.harddrivebenchmark.net/hdd.php?hdd=M%20Series%20NVMe%20SSD%20500G&id=31803,"2,349 MBytes/Sec","1,960 MBytes/Sec","1,195 MBytes/Sec",84 MBytes/Sec
753,M4-CT064M4SSD2,59.6 GB,"1,866",7388,25.56,$72.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=M4-CT064M4SSD3&id=2746,280 MBytes/Sec,102 MBytes/Sec,69 MBytes/Sec,14 MBytes/Sec
754,M4-CT256M4SSD1,238.5 GB,"2,427",6840,12.13,$199.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=M4-CT256M4SSD2&id=301,366 MBytes/Sec,202 MBytes/Sec,67 MBytes/Sec,14 MBytes/Sec
755,M4-CT256M4SSD2,238.5 GB,"2,279",7028,12.67,$179.87*,https://www.harddrivebenchmark.net/hdd.php?hdd=M4-CT256M4SSD3&id=568,375 MBytes/Sec,200 MBytes/Sec,66 MBytes/Sec,12 MBytes/Sec
756,M4-CT512M4SSD2,476.9 GB,"2,513",6710,6.33,$396.76*,https://www.harddrivebenchmark.net/hdd.php?hdd=M580%20240GB&id=16274,NA,NA,NA,NA
757,Maxtor 4R080L0,76.3 GB,281,10378,13.07,$21.50*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%204R120L0&id=1380,NA,NA,NA,NA
758,Maxtor 4R120L0,113 GB,286,10363,16.83,$16.99*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%204R160L0&id=1381,NA,NA,NA,NA
759,Maxtor 4R160L0,152.7 GB,294,10341,7.54,$39.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%205A250J0&id=1382,NA,NA,NA,NA
760,Maxtor 6B200M0,48.8 GB,371,9946,9.29,$39.95*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%206B200P0&id=1390,NA,NA,NA,NA
761,Maxtor 6B300S0,279.5 GB,371,9945,3.50,$106.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%206E020L0&id=1395,NA,NA,NA,NA
762,Maxtor 6E040L0,6.8 GB,317,10247,8.03,$39.50*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%206E040T0&id=1398,NA,NA,NA,NA
763,Maxtor 6H500F0,465.8 GB,411,9730,4.31,$95.40*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%206K040L0&id=1401,NA,NA,NA,NA
764,Maxtor 6L080P0,76.3 GB,324,10215,1.99,$162.50*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%206L100M0&id=1410,NA,NA,NA,NA
765,Maxtor 6L250R0,233.8 GB,348,10072,14.81,$23.49*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%206L250S0&id=268,NA,NA,NA,NA
766,Maxtor 6L300S0,139.7 GB,389,9835,7.48,$52.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%206N040T0&id=1423,NA,NA,NA,NA
767,Maxtor 6Y120L0,114.5 GB,318,10242,7.24,$43.95*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%206Y120M0&id=1433,NA,NA,NA,NA
768,Maxtor 7L250S0,224.6 GB,362,9997,5.57,$65.00*,https://www.harddrivebenchmark.net/hdd.php?hdd=Maxtor%207L300S0&id=330,NA,NA,NA,NA
