,Videocard Name,"Passmark G3D Mark
(higher is better)","Rank
(lower is better)","Videocard Value
(higher is better)","Price
(USD)",lien,DirectX 9,DirectX 10,DirectX 11,DirectX 12,GPU Compute
465,Radeon Pro WX 3200,2408,607,11.11,$216.66,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+4100&id=3694,57 Frames/Sec,15 Frames/Sec,24 Frames/Sec,22 Frames/Sec,1571 Ops/Sec
466,Radeon Pro WX 4100,3760,444,7.52,$499.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+4130&id=3798,35 Frames/Sec,11 Frames/Sec,12 Frames/Sec,10 Frames/Sec,682 Ops/Sec
467,Radeon Pro WX 4150,2380,613,3.90,$610.04*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+4170&id=4169,NA,NA,NA,NA,NA
468,Radeon Pro WX 5100,5619,312,15.61,$359.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+7100&id=3611,114 Frames/Sec,39 Frames/Sec,51 Frames/Sec,39 Frames/Sec,3197 Ops/Sec
469,Radeon Pro WX 7100,7919,234,7.56,"$1,047.99*",https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+7130&id=4129,114 Frames/Sec,42 Frames/Sec,47 Frames/Sec,48 Frames/Sec,2311 Ops/Sec
470,Radeon Pro WX 8200,13925,107,8.71,"$1,599.39*",https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Pro+WX+9100&id=3833,180 Frames/Sec,80 Frames/Sec,83 Frames/Sec,63 Frames/Sec,5646 Ops/Sec
471,Radeon R4,331,1677,0.84,$396.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R4E&id=3846,NA,NA,NA,NA,NA
472,Radeon R5 220,133,1906,1.56,$85.26*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R5+230&id=3885,7 Frames/Sec,1 Frames/Sec,2 Frames/Sec,0 Frames/Sec,142 Ops/Sec
473,Radeon R5 230,221,1780,2.74,$81.10*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R5+235&id=2826,12 Frames/Sec,1 Frames/Sec,3 Frames/Sec,0 Frames/Sec,167 Ops/Sec
474,Radeon R5 235,341,1666,5.68,$60.13*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R5+235+%2B+HD+7560D+Dual&id=2871,NA,NA,NA,NA,NA
475,Radeon R5 240,527,1487,6.20,$85.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R5+310&id=3391,NA,NA,NA,NA,NA
476,Radeon R5 310,331,1678,0.66,$499.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R5+330&id=3270,10 Frames/Sec,1 Frames/Sec,5 Frames/Sec,4 Frames/Sec,336 Ops/Sec
477,Radeon R5 330,512,1503,1.51,$339.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R5+340&id=3590,19 Frames/Sec,3 Frames/Sec,6 Frames/Sec,6 Frames/Sec,504 Ops/Sec
478,Radeon R5 420,574,1431,14.39,$39.95*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R5+430&id=3801,18 Frames/Sec,3 Frames/Sec,7 Frames/Sec,6 Frames/Sec,471 Ops/Sec
479,Radeon R5 430,937,1081,15.90,$59.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R5+435&id=3601,13 Frames/Sec,2 Frames/Sec,7 Frames/Sec,5 Frames/Sec,522 Ops/Sec
480,Radeon R7 240,887,1116,8.07,$109.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+240+%2B+HD+8570D+Dual&id=2949,NA,NA,NA,NA,NA
481,Radeon R7 250,1085,998,5.71,$189.97*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+250X&id=3286,NA,NA,NA,NA,NA
482,Radeon R7 250X,2268,643,11.70,$194.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+260&id=2903,NA,NA,NA,NA,NA
483,Radeon R7 260,2891,526,32.13,$89.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+260X&id=2701,57 Frames/Sec,10 Frames/Sec,22 Frames/Sec,20 Frames/Sec,1424 Ops/Sec
484,Radeon R7 260X,3170,503,22.65,$139.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+340&id=3543,19 Frames/Sec,3 Frames/Sec,8 Frames/Sec,5 Frames/Sec,468 Ops/Sec
485,Radeon R7 360,3060,512,20.96,$145.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+370&id=3471,79 Frames/Sec,19 Frames/Sec,28 Frames/Sec,21 Frames/Sec,1960 Ops/Sec
486,Radeon R7 430,1095,994,7.28,$150.58*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+450&id=3588,38 Frames/Sec,7 Frames/Sec,12 Frames/Sec,9 Frames/Sec,830 Ops/Sec
487,Radeon R7 450,1937,716,6.48,$299.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+7850A10-7850K&id=4054,NA,NA,NA,NA,NA
488,Radeon R7 A12-9700P RADEON,740,1244,1.70,$435.92*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+A12-9720P+RADEON&id=3781,10 Frames/Sec,2 Frames/Sec,5 Frames/Sec,6 Frames/Sec,473 Ops/Sec
489,Radeon R7 A12-9720P RADEON,741,1243,2.03,$365.48*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+A12-9730P+RADEON&id=3777,17 Frames/Sec,3 Frames/Sec,8 Frames/Sec,7 Frames/Sec,548 Ops/Sec
490,Radeon R7 A12-9800E RADEON,891,1113,6.41,$139.19*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+A265&id=3069,18 Frames/Sec,3 Frames/Sec,8 Frames/Sec,6 Frames/Sec,561 Ops/Sec
491,Radeon R7 FX-9800P RADEON,740,1245,1.40,$530.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+FX-9830P+RADEON&id=3632,25 Frames/Sec,6 Frames/Sec,12 Frames/Sec,8 Frames/Sec,826 Ops/Sec
492,Radeon R7 M260,488,1529,0.61,$799.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+M260DX&id=3042,13 Frames/Sec,3 Frames/Sec,6 Frames/Sec,5 Frames/Sec,420 Ops/Sec
493,Radeon R7 M445,945,1074,1.27,$744.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+M460&id=3551,20 Frames/Sec,3 Frames/Sec,9 Frames/Sec,6 Frames/Sec,480 Ops/Sec
494,Radeon R7 PRO A10-9700E,971,1059,1.84,$529.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R7+PRO+A12-8800B&id=3622,9 Frames/Sec,1 Frames/Sec,4 Frames/Sec,5 Frames/Sec,378 Ops/Sec
495,Radeon R9 255,1456,865,4.23,$344.16*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+260&id=3496,62 Frames/Sec,10 Frames/Sec,25 Frames/Sec,19 Frames/Sec,1489 Ops/Sec
496,Radeon R9 270 / R7 370,4259,412,19.98,$213.16*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+270X&id=2702,85 Frames/Sec,20 Frames/Sec,31 Frames/Sec,24 Frames/Sec,2216 Ops/Sec
497,Radeon R9 270X,4911,366,15.04,$326.50*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+280&id=3465,86 Frames/Sec,29 Frames/Sec,31 Frames/Sec,26 Frames/Sec,2501 Ops/Sec
498,Radeon R9 285 / 380,5549,319,11.44,$485.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+290&id=4259,127 Frames/Sec,47 Frames/Sec,53 Frames/Sec,38 Frames/Sec,3204 Ops/Sec
499,Radeon R9 290 / 390,8150,227,21.45,$380.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+290X&id=4263,129 Frames/Sec,48 Frames/Sec,56 Frames/Sec,40 Frames/Sec,3461 Ops/Sec
500,Radeon R9 290X / 390X,8389,219,26.22,$319.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+295X2&id=2878,126 Frames/Sec,43 Frames/Sec,79 Frames/Sec,44 Frames/Sec,3182 Ops/Sec
501,Radeon R9 295X2,8637,214,17.31,$499.10*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+350&id=3589,39 Frames/Sec,7 Frames/Sec,13 Frames/Sec,9 Frames/Sec,863 Ops/Sec
502,Radeon R9 350,2018,693,6.75,$299.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+360&id=3327,NA,NA,NA,NA,NA
503,Radeon R9 360,3031,515,22.64,$133.89*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+370&id=3469,NA,NA,NA,NA,NA
504,Radeon R9 370,4722,379,29.51,$159.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+380&id=3460,94 Frames/Sec,29 Frames/Sec,41 Frames/Sec,32 Frames/Sec,2348 Ops/Sec
505,Radeon R9 380,6210,293,69.02,$89.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+380X&id=3266,92 Frames/Sec,29 Frames/Sec,43 Frames/Sec,33 Frames/Sec,3042 Ops/Sec
506,Radeon R9 380X,6241,290,17.83,$349.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+390&id=3464,137 Frames/Sec,52 Frames/Sec,57 Frames/Sec,40 Frames/Sec,3420 Ops/Sec
507,Radeon R9 Fury,9618,186,21.71,$443.10*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+Fury+%2B+Fury+X&id=3245,135 Frames/Sec,58 Frames/Sec,60 Frames/Sec,48 Frames/Sec,4276 Ops/Sec
508,Radeon R9 Fury + Fury X,9741,183,21.65,$449.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+Fury+X&id=3634,137 Frames/Sec,60 Frames/Sec,64 Frames/Sec,45 Frames/Sec,4263 Ops/Sec
509,Radeon R9 M275,1114,983,1.59,$699.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+M275X&id=4329,28 Frames/Sec,5 Frames/Sec,10 Frames/Sec,9 Frames/Sec,779 Ops/Sec
510,Radeon R9 M295X,5150,350,3.55,"$1,449.00*",https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+M360&id=3479,38 Frames/Sec,7 Frames/Sec,12 Frames/Sec,9 Frames/Sec,792 Ops/Sec
511,Radeon R9 M370X,1513,849,1.70,$889.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+R9+M375&id=3263,20 Frames/Sec,3 Frames/Sec,5 Frames/Sec,6 Frames/Sec,512 Ops/Sec
512,Radeon RX 460,4113,418,24.66,$166.81*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+470%2F570&id=3558,116 Frames/Sec,41 Frames/Sec,55 Frames/Sec,39 Frames/Sec,3090 Ops/Sec
513,Radeon RX 470/570,8046,229,20.69,$388.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+480&id=3533,121 Frames/Sec,43 Frames/Sec,58 Frames/Sec,42 Frames/Sec,3681 Ops/Sec
514,Radeon RX 480,8666,211,25.49,$339.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5300&id=4420,113 Frames/Sec,34 Frames/Sec,51 Frames/Sec,34 Frames/Sec,4787 Ops/Sec
515,Radeon RX 550,2699,556,14.79,$182.49,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5500&id=4164,130 Frames/Sec,45 Frames/Sec,56 Frames/Sec,37 Frames/Sec,4414 Ops/Sec
516,Radeon RX 5500 XT,9183,199,49.64,$184.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5500M&id=4193,100 Frames/Sec,38 Frames/Sec,32 Frames/Sec,25 Frames/Sec,2163 Ops/Sec
517,Radeon RX 560,3643,456,16.87,$215.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5600&id=4205,167 Frames/Sec,63 Frames/Sec,85 Frames/Sec,44 Frames/Sec,5417 Ops/Sec
518,Radeon RX 5600 XT,13779,112,25.28,$545.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5600M&id=4217,129 Frames/Sec,56 Frames/Sec,60 Frames/Sec,38 Frames/Sec,3050 Ops/Sec
519,Radeon RX 5700,14624,102,47.18,$309.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700+XT&id=4111,219 Frames/Sec,103 Frames/Sec,121 Frames/Sec,67 Frames/Sec,8153 Ops/Sec
520,Radeon RX 5700 XT,16827,69,46.34,$363.12*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+5700+XT+50th+Anniversary&id=4114,212 Frames/Sec,103 Frames/Sec,118 Frames/Sec,65 Frames/Sec,7987 Ops/Sec
521,Radeon RX 570X,1923,725,8.12,$236.71*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+580&id=3736,124 Frames/Sec,45 Frames/Sec,60 Frames/Sec,43 Frames/Sec,3703 Ops/Sec
522,Radeon RX 580,8905,208,49.48,$179.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+580+2048SP&id=4049,113 Frames/Sec,42 Frames/Sec,54 Frames/Sec,37 Frames/Sec,2851 Ops/Sec
523,Radeon RX 590,9486,188,17.25,$549.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6300&id=4939,95 Frames/Sec,31 Frames/Sec,51 Frames/Sec,28 Frames/Sec,2504 Ops/Sec
524,Radeon RX 6400,7444,253,46.82,$159.00,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6500&id=4843,89 Frames/Sec,51 Frames/Sec,72 Frames/Sec,35 Frames/Sec,2498 Ops/Sec
525,Radeon RX 6500 XT,9484,190,56.12,$169.00,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6500M&id=4599,94 Frames/Sec,52 Frames/Sec,73 Frames/Sec,36 Frames/Sec,3029 Ops/Sec
526,Radeon RX 6600,15144,94,46.03,$329.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600+XT&id=4444,184 Frames/Sec,113 Frames/Sec,162 Frames/Sec,61 Frames/Sec,8156 Ops/Sec
527,Radeon RX 6600 XT,16456,75,47.02,$349.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600M&id=4449,173 Frames/Sec,92 Frames/Sec,131 Frames/Sec,51 Frames/Sec,5836 Ops/Sec
528,Radeon RX 6600M,13654,114,65.03,$209.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6600S&id=4755,164 Frames/Sec,92 Frames/Sec,147 Frames/Sec,69 Frames/Sec,5066 Ops/Sec
529,Radeon RX 6650 XT,17497,66,74.46,$234.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6650M&id=4557,171 Frames/Sec,82 Frames/Sec,127 Frames/Sec,60 Frames/Sec,5267 Ops/Sec
530,Radeon RX 6700 XT,19871,45,64.10,$309.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700M&id=4458,147 Frames/Sec,95 Frames/Sec,127 Frames/Sec,64 Frames/Sec,5348 Ops/Sec
531,Radeon RX 6700M,13244,121,47.21,$280.57,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6700S&id=4510,178 Frames/Sec,90 Frames/Sec,131 Frames/Sec,57 Frames/Sec,6225 Ops/Sec
532,Radeon RX 6750 XT,21032,36,60.09,$349.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800&id=4314,245 Frames/Sec,136 Frames/Sec,218 Frames/Sec,90 Frames/Sec,11814 Ops/Sec
533,Radeon RX 6800,22350,29,55.88,$399.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800+XT&id=4312,250 Frames/Sec,167 Frames/Sec,263 Frames/Sec,101 Frames/Sec,14450 Ops/Sec
534,Radeon RX 6800 XT,25154,19,51.27,$490.65,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6800M&id=4415,146 Frames/Sec,103 Frames/Sec,125 Frames/Sec,64 Frames/Sec,5052 Ops/Sec
535,Radeon RX 6900 XT,26959,12,34.56,$779.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+6950+XT&id=4540,299 Frames/Sec,175 Frames/Sec,306 Frames/Sec,113 Frames/Sec,15625 Ops/Sec
536,Radeon RX 6950 XT,28579,10,28.87,$989.96,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7600&id=4832,222 Frames/Sec,84 Frames/Sec,174 Frames/Sec,52 Frames/Sec,9884 Ops/Sec
537,Radeon RX 7600,16330,76,62.81,$259.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7600M+XT&id=4844,125 Frames/Sec,69 Frames/Sec,112 Frames/Sec,51 Frames/Sec,3839 Ops/Sec
538,Radeon RX 7700 XT,21922,32,49.82,$439.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7800+XT&id=4917,305 Frames/Sec,122 Frames/Sec,252 Frames/Sec,80 Frames/Sec,14304 Ops/Sec
539,Radeon RX 7800 XT,23692,22,47.39,$499.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+GRE&id=4906,346 Frames/Sec,146 Frames/Sec,232 Frames/Sec,89 Frames/Sec,23854 Ops/Sec
540,Radeon RX 7900 XT,28937,8,36.17,$799.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+7900+XTX&id=4644,327 Frames/Sec,177 Frames/Sec,365 Frames/Sec,115 Frames/Sec,19767 Ops/Sec
541,Radeon RX 7900 XTX,31285,4,32.93,$949.99,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+10&id=4066,24 Frames/Sec,7 Frames/Sec,11 Frames/Sec,8 Frames/Sec,931 Ops/Sec
542,Radeon RX Vega 11,2123,670,2.12,"$1,002.00*",https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+11+PRD&id=4131,NA,NA,NA,NA,NA
543,Radeon RX Vega 56,13443,118,17.85,$752.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+64&id=3808,191 Frames/Sec,88 Frames/Sec,91 Frames/Sec,68 Frames/Sec,6661 Ops/Sec
544,Radeon RX Vega 64,14497,103,19.33,$749.99*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+RX+Vega+8&id=4012,23 Frames/Sec,5 Frames/Sec,10 Frames/Sec,7 Frames/Sec,743 Ops/Sec
545,Radeon Vega 3,888,1115,0.33,"$2,677.99*",https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Vega+3+3020e&id=4690,9 Frames/Sec,2 Frames/Sec,5 Frames/Sec,3 Frames/Sec,354 Ops/Sec
546,Radeon Vega 6,1310,908,0.73,"$1,799.99*",https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Vega+6+Ryzen+3+3300U&id=4746,19 Frames/Sec,6 Frames/Sec,9 Frames/Sec,6 Frames/Sec,639 Ops/Sec
547,Radeon Vega 8,1584,824,12.49,$126.86*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+Vega+8+Mobile&id=3845,22 Frames/Sec,5 Frames/Sec,10 Frames/Sec,7 Frames/Sec,732 Ops/Sec
548,Radeon Vega Frontier Edition,13337,120,7.94,"$1,679.99*",https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+VII&id=4050,212 Frames/Sec,107 Frames/Sec,109 Frames/Sec,78 Frames/Sec,7259 Ops/Sec
549,Radeon VII,16761,70,8.82,"$1,899.95*",https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1050&id=609,NA,NA,NA,NA,NA
550,Radeon X1300,58,2137,0.61,$95.78*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1300+PRO&id=159,NA,NA,NA,NA,NA
551,Radeon X1550,66,2117,0.43,$155.00*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1550+64-bit&id=1752,NA,NA,NA,NA,NA
552,Radeon X1650 Pro,84,2050,0.53,$160.89*,https://www.videocardbenchmark.net/gpu.php?gpu=Radeon+X1650+SE&id=1757,NA,NA,NA,NA,NA
553,RADEON X600 PRO,67,2112,0.42,$160.49*,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X600+SE&id=155,NA,NA,NA,NA,NA
554,RADEON X600 SE,49,2165,0.87,$56.18*,https://www.videocardbenchmark.net/gpu.php?gpu=RADEON+X600XT&id=1772,NA,NA,NA,NA,NA
